1, 16, 16, 0, 0, 0
2, 42, 28, 2, 0, 0
3, 30, 26, 38, 0, 0
4, 76, 46, 0, 0, 0
5, 30, 28, 74, 0, 0
6, 54, 32, 8, 0, 0
7, 48, 34, 40, 0, 0
8, 84, 36, 0, 0, 0
9, 48, 32, 68, 0, 0
10, 64, 40, 24, 0, 0
11, 48, 26, 42, 0, 0
12, 46, 14, 16, 0, 0
13, 52, 16, 10, 0, 0
14, 36, 22, 38, 0, 0
15, 30, 16, 22, 0, 0
16, 22, 4, 12, 0, 0
17, 28, 10, 4, 0, 0
18, 24, 8, 12, 0, 0
19, 32, 8, 0, 0, 0
20, 36, 16, 12, 0, 0
21, 52, 16, 0, 0, 0
22, 20, 8, 40, 0, 0
23, 28, 16, 8, 0, 0
24, 24, 12, 16, 0, 0
25, 24, 16, 16, 0, 0
26, 32, 16, 8, 0, 0
27, 32, 16, 16, 0, 0
28, 48, 16, 0, 0, 0
29, 48, 32, 32, 0, 0
30, 80, 32, 0, 0, 0
31, 36, 24, 68, 0, 0
32, 32, 20, 24, 0, 0
33, 24, 16, 24, 0, 0
34, 24, 16, 16, 0, 0
35, 24, 16, 16, 0, -1

